Velo,SpinRate,HorzBreak,InducedVertBreak,InPlayProbability
94.72,2375.0,3.1,18.15,0.2194782
95.25,2033.0,11.26,14.5,0.2694186
92.61,2389.0,11.0,21.93,0.1103959
94.94,2360.0,6.84,18.11,0.22555837
97.42,2214.0,16.7,13.38,0.26618284
95.98,2495.0,11.25,17.12,0.24345708
94.88,1998.0,15.13,15.22,0.35502166
92.73,2049.0,1.55,18.47,0.24741875
92.39,1955.0,18.15,7.25,0.32426873
95.77,1976.0,10.04,14.56,0.26677734
93.27,2076.0,11.45,11.5,0.33955002
91.95,2465.0,9.12,21.0,0.25642028
92.24,2391.0,0.56,13.23,0.2381002
93.1,2130.0,3.97,16.75,0.26551032
95.38,2262.0,7.44,17.64,0.21633945
94.54,2116.0,13.3,8.16,0.37675786
94.22,2325.0,8.85,17.63,0.24785356
95.14,2451.0,5.68,18.71,0.22555837
91.91,2073.0,13.77,14.65,0.33709994
94.42,2232.0,8.61,19.04,0.23969753
92.06,2184.0,-3.89,4.09,0.34700418
94.99,2317.0,6.05,13.93,0.25786158
94.8,3009.0,10.06,17.07,0.3083907
91.25,2077.0,13.02,13.67,0.33818462
97.6,2080.0,16.79,-0.58,0.28333038
95.78,2314.0,13.22,16.79,0.25583118
95.58,2253.0,5.07,17.3,0.21633945
92.63,2334.0,1.44,17.63,0.24434668
89.9,2191.0,17.65,9.55,0.29854855
96.23,2469.0,6.28,20.41,0.16598205
90.67,2447.0,12.69,14.4,0.33968288
94.1,2261.0,11.57,20.01,0.21220842
94.6,2014.0,2.89,14.19,0.23700714
93.57,2291.0,14.04,14.78,0.32395303
93.74,2200.0,8.27,17.94,0.24829227
94.85,2660.0,6.82,20.72,0.13931206
88.41,1876.0,14.75,13.56,0.38365546
96.76,2353.0,8.91,17.73,0.220708
97.99,2077.0,14.73,15.91,0.3366658
89.4,2169.0,17.83,8.61,0.27962315
95.17,2305.0,4.59,20.69,0.18223862
90.32,2068.0,13.56,7.73,0.35934424
95.36,2191.0,12.29,9.0,0.30825195
92.29,2591.0,-0.02,15.27,0.17166471
91.98,2273.0,16.16,8.9,0.29903385
95.57,2200.0,15.33,11.87,0.36614713
93.33,2174.0,9.79,15.34,0.2811448
92.03,2231.0,4.35,12.68,0.27775857
95.18,2219.0,6.12,19.91,0.1902937
92.89,2141.0,9.56,14.23,0.2811448
97.34,2383.0,5.9,19.13,0.22098745
92.75,2444.0,-0.37,13.54,0.19596492
96.36,2799.0,1.43,12.44,0.112799816
88.32,2289.0,2.7,18.12,0.29316095
89.24,2099.0,4.0,18.98,0.2970339
94.81,1939.0,10.58,14.59,0.3610156
94.95,2228.0,3.24,19.51,0.18493712
91.72,2227.0,2.03,16.19,0.271777
92.98,2193.0,20.09,7.2,0.216157
95.68,2169.0,13.62,14.62,0.31801015
90.69,2274.0,3.79,17.91,0.2625281
94.77,1860.0,10.63,12.25,0.33984038
93.23,2270.0,9.65,16.73,0.2557399
95.39,2103.0,16.47,13.96,0.28854644
92.07,2028.0,9.99,17.24,0.25945804
97.67,2792.0,12.23,10.93,0.19025868
95.3,2155.0,5.69,19.92,0.19463503
94.43,1910.0,3.12,12.78,0.33553788
93.48,2333.0,13.84,11.14,0.3535276
98.56,2132.0,13.3,10.25,0.27872446
94.08,2041.0,4.45,10.39,0.29723012
94.19,2448.0,6.54,20.37,0.18223862
93.96,1892.0,7.86,16.15,0.29136035
94.16,2479.0,5.98,21.57,0.1743634
93.9,2190.0,16.36,8.61,0.3258542
94.43,2037.0,15.55,12.56,0.29182655
93.32,2366.0,1.29,18.94,0.23618093
92.7,2341.0,2.38,22.79,0.088805355
93.34,1913.0,16.33,7.03,0.36488903
92.42,2182.0,10.7,14.98,0.29295316
92.02,2263.0,14.03,15.01,0.33088648
93.04,2264.0,10.22,14.53,0.28720087
94.05,2253.0,12.93,16.38,0.30205452
93.43,2030.0,10.97,13.58,0.28746554
92.03,2247.0,2.57,18.07,0.23736085
93.77,2034.0,4.07,16.63,0.24342148
94.8,2219.0,11.8,6.13,0.34244516
97.68,2538.0,9.88,19.23,0.2348385
85.09,1771.0,12.72,8.1,0.3913373
88.0,1786.0,13.5,5.5,0.45308614
92.68,2080.0,6.85,14.92,0.26551032
96.71,2201.0,16.14,7.46,0.30521876
92.52,2408.0,16.07,13.7,0.27710336
97.32,2046.0,9.6,16.26,0.23027973
95.78,2257.0,15.84,6.45,0.29932758
94.53,2060.0,16.93,5.06,0.3110681
94.7,2544.0,6.52,15.04,0.24104442
94.71,2181.0,3.15,16.58,0.24954803
96.12,1626.0,2.93,13.45,0.32774845
91.7,2275.0,19.0,7.15,0.29080856
94.18,2060.0,4.41,15.27,0.24342148
94.23,2278.0,6.96,20.41,0.18223862
94.97,2303.0,3.8,18.51,0.22555837
